char,rater 1
因,O
此,O
，,O
可,O
以,O
基,O
于,O
人,B-CON
工,I-CON
智,I-CON
能,I-CON
教,I-CON
育,I-CON
机,B-TOO
器,I-TOO
人,I-TOO
的,O
应,O
用,O
场,O
景,O
，,O
分,O
析,O
人,B-TOO
工,I-TOO
智,I-TOO
能,I-TOO
关,I-TOO
键,I-TOO
技,I-TOO
术,I-TOO
对,O
人,B-CON
工,I-CON
智,I-CON
能,I-CON
教,I-CON
育,I-CON
机,B-TOO
器,I-TOO
人,I-TOO
的,O
支,O
持,O
，,O
在,O
云,B-TOO
计,I-TOO
算,I-TOO
平,I-TOO
台,I-TOO
基,O
础,O
和,O
边,B-TOO
缘,I-TOO
计,I-TOO
算,I-TOO
环,O
境,O
框,O
架,O
下,O
构,O
建,O
人,B-TOO
工,I-TOO
智,I-TOO
能,I-TOO
机,I-TOO
器,I-TOO
人,I-TOO
支,O
持,O
的,O
新,O
型,O
“,O
双,B-TER
师,I-TER
课,I-TER
堂,I-TER
”,O
环,O
境,O
，,O
进,O
一,O
步,O
给,O
出,O
人,B-CON
工,I-CON
智,I-CON
能,I-CON
教,I-CON
育,I-CON
机,B-TOO
器,I-TOO
人,I-TOO
支,O
持,O
的,O
新,O
型,O
“,O
双,B-TER
师,I-TER
课,I-TER
堂,I-TER
”,O
学,B-TER
习,I-TER
过,I-TER
程,I-TER
和,O
应,O
用,O
，,O
并,O
基,O
于,O
该,O
课,O
堂,O
环,O
境,O
下,O
人,B-CON
工,I-CON
智,I-CON
能,I-CON
教,I-CON
育,I-CON
机,B-TOO
器,I-TOO
人,I-TOO
教,O
学,O
应,O
用,O
实,O
施,O
的,O
相,O
关,O
案,O
例,O
，,O
探,O
讨,O
课,B-TER
堂,I-TER
应,I-TER
用,I-TER
效,I-TER
果,I-TER
及,O
其,O
相,O
关,O
措,O
施,O
。,O
人,B-CON
工,I-CON
智,I-CON
能,I-CON
教,I-CON
育,I-CON
机,B-TOO
器,I-TOO
人,I-TOO
是,O
人,B-TOO
工,I-TOO
智,I-TOO
能,I-TOO
技,I-TOO
术,I-TOO
集,O
成,O
化,O
、,O
具,O
象,O
化,O
的,O
课,O
堂,O
体,O
现,O
，,O
可,O
以,O
作,O
为,O
课,O
堂,O
中,O
的,O
另,O
一,O
名,O
“,O
教,O
师,O
”,O
角,O
色,O
，,O
形,O
成,O
一,O
种,O
新,O
的,O
人,O
机,O
协,O
同,O
的,O
“,O
双,B-TER
师,I-TER
课,I-TER
堂,I-TER
”,O
教,B-TER
学,I-TER
形,I-TER
态,I-TER
。,O
在,O
未,O
来,O
教,O
育,O
当,O
中,O
，,O
教,B-PER
师,I-PER
需,O
要,O
熟,O
悉,O
“,O
人,B-TER
机,I-TER
协,I-TER
同,I-TER
”,O
智,B-TER
慧,I-TER
教,I-TER
学,I-TER
环,I-TER
境,I-TER
，,O
开,O
展,O
注,O
重,O
“,O
育,O
人,O
”,O
的,O
教,B-TER
学,I-TER
活,I-TER
动,I-TER
，,O
同,O
时,O
培,O
养,O
学,B-PER
生,I-PER
“,O
人,B-TER
机,I-TER
协,I-TER
同,I-TER
”,O
的,O
意,O
识,O
和,O
能,O
力,O
，,O
为,O
人,B-DAT
工,I-DAT
智,I-DAT
能,I-DAT
时,I-DAT
代,I-DAT
社,O
会,O
的,O
人,O
才,O
需,O
求,O
打,O
下,O
良,O
好,O
基,O
础,O
。,O
刘,B-PER
智,I-PER
，,O
方,B-PER
常,I-PER
丽,I-PER
，,O
刘,B-PER
三,I-PER
女,I-PER
牙,I-PER
，,O
孙,B-PER
建,I-PER
文,I-PER
于,O
2,B-DAT
0,I-DAT
1,I-DAT
9,I-DAT
年,I-DAT
0,I-DAT
3,I-DAT
月,I-DAT
2,I-DAT
1,I-DAT
日,I-DAT
发,O
表,O
了,O
：,O
物,O
理,O
学,O
习,O
空,O
间,O
中,O
学,B-PER
习,I-PER
者,I-PER
情,O
绪,O
感,O
知,O
研,O
究,O
综,O
述,O
。,O
在,O
“,O
人,B-TER
—,I-TER
技,I-TER
”,O
协,O
同,O
进,O
化,O
的,O
教,O
育,O
发,O
展,O
态,O
势,O
下,O
，,O
学,B-PER
习,I-PER
者,I-PER
的,O
学,B-TER
习,I-TER
方,I-TER
式,I-TER
和,O
交,O
互,O
环,O
境,O
正,O
面,O
临,O
深,O
刻,O
变,O
革,O
，,O
物,O
理,O
空,O
